figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,COAD_Normal,BRD2,UROD,-0.28,0.074,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD2,UROS,-0.089,0.58,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,ALAD,0.26,0.099,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,ALAS1,0.1,0.52,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,CPOX,0.43,0.0049,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,FECH,-0.093,0.56,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,HMBS,0.07,0.67,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,PPOX,0.25,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,UROD,-0.32,0.043,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,BRD4,UROS,-0.11,0.47,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,ALAD,-0.45,0.0033,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,ALAS1,-0.15,0.36,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,CPOX,0.067,0.68,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,FECH,0.1,0.52,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,HMBS,0.7,8.6e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,PPOX,-0.013,0.93,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,UROD,0.21,0.18,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,COAD_Normal,H2AFZ,UROS,0.55,0.00028,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,ALAD,0.5,0.085,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,ALAS1,0.7,0.01,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,CPOX,0.44,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,FECH,0.34,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,HMBS,0.59,0.036,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,PPOX,0.46,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,UROD,0.51,0.078,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,ATAD2,UROS,0.67,0.015,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,ALAD,0.18,0.57,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,ALAS1,0.79,0.0023,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,CPOX,0.71,0.0088,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,FECH,0.7,0.0096,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,HMBS,0.75,0.0044,GEPIA2 GTEx normal tissue RNA-seq
