"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph2","chromatin_vs_heme","ATAD2","CPOX","UVM_Tumor",0.78,"4.3e-17","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_CPOX__UVM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","ACC_Tumor",0.33,"0.0038","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__ACC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","BLCA_Tumor",0.54,"1.9e-31","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__BLCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","BRCA_Tumor",0.4,"6.3e-42","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__BRCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","CESC_Tumor",0.47,"6.2e-18","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__CESC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","CHOL_Tumor",0.67,"6.5e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__CHOL_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","COAD_Tumor",0.19,"0.0017","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__COAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","DLBC_Tumor",0.78,"0","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__DLBC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","ESCA_Tumor",0.34,"2.4e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__ESCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","GBM_Tumor",0.3,"8.9e-05●","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__GBM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","HNSC_Tumor",0.46,"5.9e-29","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__HNSC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","KICH_Tumor",0.42,"0.00038","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__KICH_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","KIRC_Tumor",0.4,"2.5e-21","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__KIRC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","KIRP_Tumor",0.41,"5.6e-13","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__KIRP_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","FECH","LAML_Tumor",0.31,"3e-05","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_FECH__LAML_Tumor__spearman.pdf"
